"isocode","country","gdp_pc_1992","gdp_pc_2017","country_name","year","e_regiongeo","v2x_libdem","pop"
"ABW","Aruba",42728.2931122833,37395.9867536741,NA,NA,NA,NA,NA
"AGO","Angola",2702.66187577193,5004.58885792605,"Angola",2019,"Africa",0.23,10377
"AIA","Anguilla",20921.2208723696,23012.405012688,NA,NA,NA,NA,NA
"ALB","Albania",2177.37832536431,11628.8680430867,"Albania",2019,"Europe",0.431,3473.835
"ARE","United Arab Emirates",97245.6892060533,65587.3954861057,"United Arab Emirates",2019,"Asia",0.091,3219
"ARG","Argentina",7605.83369785603,16771.3722929384,"Argentina",2019,"Americas",0.631,37336
"ARM","Armenia",3255.10379917386,9955.6276756749,"Armenia",2019,"Asia",0.641,3042.556
"ATG","Antigua and Barbuda",11922.5597098294,20264.195803348,NA,NA,NA,NA,NA
"AUS","Australia",27114.0405710369,48141.9413976106,"Australia",2019,"Oceania",0.789,19053
"AUT","Austria",27045.7612562937,51524.408543169,"Austria",2019,"Europe",0.721,8113.413
"AZE","Azerbaijan",5840.40383160477,14879.0435251947,"Azerbaijan",2019,"Asia",0.07,7809
"BDI","Burundi",820.22646083912,743.921792747832,"Burundi",2019,"Africa",0.059,6621.126
"BEL","Belgium",26413.352408647,46522.3564938358,"Belgium",2019,"Europe",0.822,10263.62
"BEN","Benin",1218.84818175859,1963.79677301703,"Benin",2019,"Africa",0.461,6619
"BFA","Burkina Faso",928.569989321686,1645.9545854757,"Burkina Faso",2019,"Africa",0.273,11588
"BGD","Bangladesh",1374.81250331834,3455.10209726888,"Bangladesh",2019,"Asia",0.1,136681
"BGR","Bulgaria",8903.7144983897,20026.9319142985,"Bulgaria",2019,"Europe",0.488,7818.495
"BHR","Bahrain",15851.6958266826,38029.8034535124,"Bahrain",2019,"Asia",0.05,NA
"BHS","Bahamas",22715.1622673076,28449.9626449765,NA,NA,NA,NA,NA
"BIH","Bosnia and Herzegovina",1219.92648133046,12119.2688015462,"Bosnia and Herzegovina",2019,"Europe",0.345,4035.457
"BLR","Belarus",11300.6499575742,17128.4432819729,"Belarus",2019,"Europe",0.115,10366.72
"BLZ","Belize",5946.05184552337,8561.60086947336,NA,NA,NA,NA,NA
"BMU","Bermuda",28613.9182867857,65571.7640999677,NA,NA,NA,NA,NA
"BOL","Bolivia (Plurinational State of)",2318.14591468437,6191.76793293111,"Bolivia",2019,"Americas",0.306,8195
"BRA","Brazil",6378.62911360602,14108.9156512102,"Brazil",2019,"Americas",0.508,176320
"BRB","Barbados",17208.8676301672,13937.6002421577,"Barbados",2019,NA,0.726,274
"BRN","Brunei Darussalam",51288.4209169629,54372.1333829787,NA,NA,NA,NA,NA
"BTN","Bhutan",2549.04668590223,8189.37603460864,"Bhutan",2019,"Asia",0.493,606
"BWA","Botswana",6308.81852593902,16235.7467940598,"Botswana",2019,"Africa",0.55,1680
"CAF","Central African Republic",942.549107276255,726.709319063876,"Central African Republic",2019,"Africa",0.213,3940
"CAN","Canada",29149.6680445227,44492.6455277646,"Canada",2019,"Americas",0.776,31100
"CHE","Switzerland",36928.7183795511,62926.5747999912,"Switzerland",2019,"Europe",0.827,7266.92
"CHL","Chile",8701.04278214123,24024.3957998182,"Chile",2019,"Americas",0.762,15156
"CHN","China",2820.91817341228,13051.3232886747,"China",2019,"Asia",0.05,1262645
"CIV","Cote d'Ivoire",2278.59142095745,3605.62045986299,"Ivory Coast",2019,"Africa",0.375,16885
"CMR","Cameroon",2172.36119442284,3156.45059804553,"Cameroon",2019,"Africa",0.145,15343
"COD","Congo, Democratic Republic",1382.10422399518,798.678545912613,"Democratic Republic of the Congo",2019,"Africa",0.139,51849
"COG","Congo",1740.96525926674,4581.74238075694,"Republic of the Congo",2019,"Africa",0.099,3104
"COL","Colombia",6882.26578247373,12964.4261395181,"Colombia",2019,"Americas",0.503,39817
"COM","Comoros",3383.41322103837,2832.19955625621,"Comoros",2019,"Africa",0.18,579
"CPV","Cabo Verde",2127.80836614571,6655.66259013847,"Cape Verde",2019,"Africa",0.726,402
"CRI","Costa Rica",7905.16314404885,16272.1562295547,"Costa Rica",2019,"Americas",0.816,3710.558
"CUW","Curacao",NA,24719.2962613205,NA,NA,NA,NA,NA
"CYM","Cayman Islands",57289.1042161006,56038.0693348554,NA,NA,NA,NA,NA
"CYP","Cyprus",21733.9056212276,34470.2743730487,"Cyprus",2019,"Asia",0.71,758.363
"CZE","Czech Republic",17878.7955263705,36060.8047933474,"Czech Republic",2019,"Europe",0.697,10270.13
"DEU","Germany",27987.0803363767,49141.0396581731,"Germany",2019,"Europe",0.779,82187.91
"DJI","Djibouti",2449.20114888282,3545.14327512042,"Djibouti",2019,"Africa",0.128,430.822
"DMA","Dominica",8108.45054964436,9114.68969525035,NA,NA,NA,NA,NA
"DNK","Denmark",26433.5189010686,49606.8228468626,"Denmark",2019,"Europe",0.858,5337.416
"DOM","Dominican Republic",4942.88473286863,14683.9019197138,"Dominican Republic",2019,NA,0.322,8410
"DZA","Algeria",7861.96015654226,12116.37404364,"Algeria",2019,"Africa",0.119,30429
"ECU","Ecuador",5787.1750593838,10193.9822220978,"Ecuador",2019,"Americas",0.502,12446
"EGY","Egypt",2472.0204692401,10209.4053010807,"Egypt",2019,"Africa",0.126,70512
"ESP","Spain",18599.0811481767,37232.802259012,"Spain",2019,"Europe",0.815,40016.08
"EST","Estonia",8696.78406901552,31013.4785447173,"Estonia",2019,"Europe",0.84,1379.835
"ETH","Ethiopia",559.521870202801,1526.2862780722,"Ethiopia",2019,"Africa",0.176,64165
"FIN","Finland",22134.7619713657,42901.9035658555,"Finland",2019,"Europe",0.813,5168.595
"FJI","Fiji",5656.49342618942,8633.67704070412,"Fiji",2019,"Oceania",0.31,833
"FRA","France",25195.7426234044,40975.053621339,"France",2019,"Europe",0.783,61137
"GAB","Gabon",8503.57627731826,11867.9174913233,"Gabon",2019,"Africa",0.2,1236
"GBR","United Kingdom",22304.612473268,42137.8153225878,"United Kingdom",2019,"Europe",0.79,59522.47
"GEO","Georgia",4225.20275779838,11487.5599924502,"Georgia",2019,"Asia",0.504,4777.209
"GHA","Ghana",2682.0612989458,5153.55091066913,"Ghana",2019,"Africa",0.608,19736
"GIN","Guinea",2831.77135989185,2142.86984539697,"Guinea",2019,"Africa",0.166,8350
"GMB","Gambia",2585.58031205441,2352.59394573767,"The Gambia",2019,"Africa",0.459,1367.884
"GNB","Guinea-Bissau",1232.81706411133,1755.44318728327,"Guinea-Bissau",2019,"Africa",0.29,1279
"GNQ","Equatorial Guinea",2063.79170040164,16359.016052629,"Equatorial Guinea",2019,"Africa",0.054,491
"GRC","Greece",17466.1125411245,25376.0596855033,"Greece",2019,"Europe",0.762,10559.11
"GRD","Grenada",5475.92618469158,13160.7234574673,NA,NA,NA,NA,NA
"GTM","Guatemala",3742.04549443593,7473.33884150825,"Guatemala",2019,"Americas",0.396,11085
"HKG","China, Hong Kong SAR",27482.1958210676,56154.342069185,"Hong Kong",2019,"Asia",0.255,NA
"HND","Honduras",2909.72422359345,4523.24410622733,"Honduras",2019,"Americas",0.195,6347.658
"HRV","Croatia",8672.07091207513,24367.8383811895,"Croatia",2019,"Europe",0.545,4410.83
"HTI","Haiti",1157.96990641837,1561.73003146513,"Haiti",2019,NA,0.239,7639
"HUN","Hungary",11491.3023133394,27530.5874875034,"Hungary",2019,"Europe",0.402,10137.45
"IDN","Indonesia",3626.38772257144,10841.7047471409,"Indonesia",2019,"Asia",0.494,NA
"IND","India",1338.33773373528,6281.53937172237,"India",2019,"Asia",0.364,1004124
"IRL","Ireland",18535.7458575649,73296.9731030264,"Ireland",2019,"Europe",0.799,3791.69
"IRN","Iran (Islamic Republic of)",3780.05261177409,15985.9496663383,"Iran",2019,"Asia",0.144,63273
"IRQ","Iraq",1924.81850776954,16683.3008454411,"Iraq",2019,"Asia",0.24,22675.62
"ISL","Iceland",28740.6439343543,51315.9038490517,"Iceland",2019,"Europe",0.765,281.043
"ISR","Israel",24086.1048985484,38724.0948401401,"Israel",2019,"Asia",0.574,6115
"ITA","Italy",26364.3106770109,39470.8918584226,"Italy",2019,"Europe",0.772,57719.34
"JAM","Jamaica",5156.78129076818,7713.82446404884,"Jamaica",2019,NA,0.69,2615.467
"JOR","Jordan",3125.30028901402,8736.35895696866,"Jordan",2019,"Asia",0.254,4998.564
"JPN","Japan",28610.9901673638,40063.5289100748,"Japan",2019,"Asia",0.736,126179
"KAZ","Kazakhstan",11588.6398250172,22578.5712920666,"Kazakhstan",2019,"Asia",0.116,15032.14
"KEN","Kenya",1991.17963439258,2987.50317891033,"Kenya",2019,"Africa",0.338,30508
"KGZ","Kyrgyzstan",5720.52463052842,4062.06248425856,"Kyrgyzstan",2019,"Asia",0.315,4851.054
"KHM","Cambodia",1172.35319764993,3485.26588320816,"Cambodia",2019,"Asia",0.088,12396
"KNA","Saint Kitts and Nevis",10451.0319541296,24562.7441938107,NA,NA,NA,NA,NA
"KOR","Republic of Korea",14533.9615623563,37725.067176089,"South Korea",2019,"Asia",0.78,46839
"KWT","Kuwait",24394.3110419013,38451.1288919055,"Kuwait",2019,"Asia",0.295,1973.572
"LAO","Lao People's DR",1204.48280072102,6563.86935884489,"Laos",2019,"Asia",0.095,5497.733
"LBN","Lebanon",4466.48551308168,15169.3123143221,"Lebanon",2019,"Asia",0.29,3581
"LBR","Liberia",492.4598863264,849.271602855679,"Liberia",2019,"Africa",0.426,2695
"LCA","Saint Lucia",7523.33081447638,12812.8626049386,NA,NA,NA,NA,NA
"LKA","Sri Lanka",3150.46667748247,12512.746952017,"Sri Lanka",2019,"Asia",0.469,19436
"LSO","Lesotho",1500.29043624071,2999.38602349043,"Lesotho",2019,"Africa",0.465,2068
"LTU","Lithuania",9778.17671909643,30935.9461298659,"Lithuania",2019,"Europe",0.732,3654.387
"LUX","Luxembourg",45226.2270763206,99476.7921668454,"Luxembourg",2019,"Europe",0.787,438.777
"LVA","Latvia",10228.8413981009,26642.8827782937,"Latvia",2019,"Europe",0.712,2376.178
"MAC","China, Macao SAR",29641.8247931732,96975.450091676,NA,NA,NA,NA,NA
"MAR","Morocco",4312.25225239349,8002.14570308881,"Morocco",2019,"Africa",0.256,30184
"MDA","Republic of Moldova",2937.25941051229,5515.69721070145,"Moldova",2019,"Europe",0.445,4430.654
"MDG","Madagascar",1115.30708993009,1595.08500622048,"Madagascar",2019,"Africa",0.313,15742
"MDV","Maldives",5054.83491357308,16441.7045428855,"Maldives",2019,"Asia",0.326,300
"MEX","Mexico",11763.061768095,18360.422955934,"Mexico",2019,"Americas",0.486,99926.62
"MKD","North Macedonia",5343.16554295594,14018.8993868432,"North Macedonia",2019,"Europe",0.432,2014.512
"MLI","Mali",663.512015423514,2410.87271566939,"Mali",2019,"Africa",0.309,10049
"MLT","Malta",14598.8676941326,41846.7545910386,"Malta",2019,"Europe",0.56,389.947
"MMR","Myanmar",822.458059648394,5655.31006301648,"Burma/Myanmar",2019,"Asia",0.246,44301
"MNE","Montenegro",6773.37181580672,16975.3454103117,"Montenegro",2019,"Europe",0.349,732.302
"MNG","Mongolia",2251.19991447332,12011.0584712685,"Mongolia",2019,"Asia",0.522,2664
"MOZ","Mozambique",441.774815508628,1207.64309283167,"Mozambique",2019,"Africa",0.269,18125
"MRT","Mauritania",1951.22958412562,2998.25293970807,"Mauritania",2019,"Africa",0.161,2501
"MSR","Montserrat",19381.8759282005,19251.5455480506,NA,NA,NA,NA,NA
"MUS","Mauritius",10992.0844780221,22656.9228690743,"Mauritius",2019,"Africa",0.714,1186
"MWI","Malawi",907.964643433061,1003.77558922935,"Malawi",2019,"Africa",0.424,11560
"MYS","Malaysia",9196.83366179639,26000.5973941724,"Malaysia",2019,"Asia",0.328,21804
"NAM","Namibia",4880.4093869182,11142.0698786977,"Namibia",2019,"Africa",0.568,1893
"NER","Niger",773.158796129852,892.619939973265,"Niger",2019,"Africa",0.344,10951
"NGA","Nigeria",584.703991347296,4374.54112954314,"Nigeria",2019,"Africa",0.339,123179
"NIC","Nicaragua",2907.21251309815,5360.22135816183,"Nicaragua",2019,"Americas",0.058,4935
"NLD","Netherlands",27305.2603420619,50024.0535241853,"Netherlands",2019,"Europe",0.784,15907.85
"NOR","Norway",26847.2930638899,58073.0435617927,"Norway",2019,"Europe",0.825,4492.4
"NPL","Nepal",1035.09127859718,2450.13929536075,"Nepal",2019,"Asia",0.464,24818
"NZL","New Zealand",20422.1602686266,38985.4728769895,"New Zealand",2019,"Oceania",0.815,3802
"OMN","Oman",10263.3582745089,28249.2077146165,"Oman",2019,"Asia",0.143,2534
"PAK","Pakistan",2543.45837404682,5106.62846278683,"Pakistan",2019,"Asia",0.211,146405
"PAN","Panama",7176.31768756335,22421.9116099849,"Panama",2019,"Americas",0.592,2900
"PER","Peru",3522.91949024081,11905.3339068635,"Peru",2019,"Americas",0.674,26087
"PHL","Philippines",3621.15072663652,7628.82793846111,"Philippines",2019,"Asia",0.286,81222
"POL","Poland",8191.99181761022,28420.4127163666,"Poland",2019,"Europe",0.5,38654.16
"PRT","Portugal",16004.519634471,26953.4521684988,"Portugal",2019,"Europe",0.817,10335.6
"PRY","Paraguay",3701.86118532665,8291.81292472693,"Paraguay",2019,"Americas",0.427,5592
"PSE","State of Palestine",2782.11915336348,4399.39952784562,"Palestine/West Bank",2019,"Asia",0.21,NA
"QAT","Qatar",23784.8553044301,100063.70267975,"Qatar",2019,"Asia",0.086,627
"ROU","Romania",6159.11386263726,25262.1379526914,"Romania",2019,"Europe",0.434,22451.92
"RUS","Russian Federation",15009.7047866447,23578.5271682453,"Russia",2019,"Europe",0.099,146710
"RWA","Rwanda",1061.02605003273,1948.48737849319,"Rwanda",2019,"Africa",0.154,8278
"SAU","Saudi Arabia",18488.7208479293,39890.6464993274,"Saudi Arabia",2019,"Asia",0.04,23147
"SDN","Sudan",1439.32719923662,4321.2282312599,"Sudan",2019,"Africa",0.087,NA
"SEN","Senegal",2411.82443097959,3140.12995691351,"Senegal",2019,"Africa",0.561,10678
"SGP","Singapore",22284.9580574836,79842.5682132961,"Singapore",2019,"Asia",0.345,4036.753
"SLE","Sierra Leone",1381.96071585922,1404.3082882537,"Sierra Leone",2019,"Africa",0.395,4816
"SLV","El Salvador",2738.10219177127,6994.61305611444,"El Salvador",2019,"Americas",0.437,6126
"SRB","Serbia",5811.82888790389,14700.8453379517,"Serbia",2019,"Europe",0.254,10117.91
"STP","Sao Tome and Principe",1613.0956281141,3483.56581610488,"Sao Tome and Principe",2019,"Africa",0.573,159.883
"SUR","Suriname",6507.8360260693,13472.0522673964,"Suriname",2019,"Americas",0.55,432
"SVK","Slovakia",12480.8630310944,30433.4433979382,"Slovakia",2019,"Europe",0.717,5400.32
"SVN","Slovenia",15712.6490709934,33947.0512683785,"Slovenia",2019,"Europe",0.714,2010.557
"SWE","Sweden",26572.7965430871,47891.9241860398,"Sweden",2019,"Europe",0.829,8872
"SWZ","Eswatini",6117.51470008542,7668.12048869693,"Eswatini",2019,"Africa",0.122,1109.75
"SXM","Sint Maarten (Dutch part)",NA,30971.8776641352,NA,NA,NA,NA,NA
"SYC","Seychelles",16820.9899808786,28553.1036299727,"Seychelles",2019,"Africa",0.482,79.326
"SYR","Syrian Arab Republic",1082.34551136306,4363.88130172102,"Syria",2019,"Asia",0.043,16305.66
"TCA","Turks and Caicos Islands",12984.972958035,23362.8328332964,NA,NA,NA,NA,NA
"TCD","Chad",1107.05417474496,1368.00811071536,"Chad",2019,"Africa",0.11,7943
"TGO","Togo",1444.22004830264,1547.22458467738,"Togo",2019,"Africa",0.179,4711.655
"THA","Thailand",5939.02795390511,16675.2239145486,"Thailand",2019,"Asia",0.152,61862.93
"TJK","Tajikistan",3130.55753798099,3491.98039147355,"Tajikistan",2019,"Asia",0.062,6230
"TKM","Turkmenistan",8042.25639086864,23213.5187527136,"Turkmenistan",2019,"Asia",0.053,4385
"TTO","Trinidad and Tobago",9814.44607555511,43008.8129550643,"Trinidad and Tobago",2019,NA,0.633,1252
"TUN","Tunisia",6008.08598385902,10873.2384040372,"Tunisia",2019,"Africa",0.655,9568
"TUR","Turkey",10166.9159855327,26649.9042684821,"Turkey",2019,"Asia",0.101,67329
"TWN","Taiwan",21766.5420572939,47843.2384579022,"Taiwan",2019,"Asia",0.697,NA
"TZA","U.R. of Tanzania: Mainland",961.315787412729,2453.49365432755,"Tanzania",2019,"Africa",0.342,33712
"UGA","Uganda",804.854262483734,1784.9884414459,"Uganda",2019,"Africa",0.222,23956
"UKR","Ukraine",9274.45878975168,9601.65986898742,"Ukraine",2019,"Europe",0.292,49007.56
"URY","Uruguay",10307.9073339641,20607.4668704556,"Uruguay",2019,"Americas",0.78,3328
"USA","United States of America",36700.5738987243,56153.4229555466,"United States of America",2019,"Americas",0.7,282158
"UZB","Uzbekistan",3840.8780588381,9422.10887962642,"Uzbekistan",2019,"Asia",0.088,25042
"VCT","St. Vincent & Grenadines",6973.60538584762,10099.5611617148,NA,NA,NA,NA,NA
"VEN","Venezuela (Bolivarian Republic of)",8147.38262942464,7925.12610205276,"Venezuela",2019,"Americas",0.086,23493
"VGB","British Virgin Islands",14388.6326614358,25930.5051332902,NA,NA,NA,NA,NA
"VNM","Viet Nam",1429.62622701838,6434.55583497648,"Vietnam",2019,"Asia",0.122,79060.41
"YEM","Yemen",624.924486399983,1777.79024148768,"Yemen",2019,"Asia",0.042,17495
"ZAF","South Africa",7863.54977448736,12201.3975653316,"South Africa",2019,"Africa",0.575,45064
"ZMB","Zambia",1092.14039858271,3965.36761729508,"Zambia",2019,"Africa",0.274,10205
"ZWE","Zimbabwe",4409.58620164493,1977.83821204348,"Zimbabwe",2019,"Africa",0.175,11820
"SSD",NA,NA,NA,"South Sudan",2019,"Africa",0.064,NA
"SLB",NA,NA,NA,"Solomon Islands",2019,"Oceania",0.511,466.194
"VUT",NA,NA,NA,"Vanuatu",2019,"Oceania",0.605,189.618
"SOM",NA,NA,NA,"Somalia",2019,"Africa",0.102,7386
"GUY",NA,NA,NA,"Guyana",2019,"Americas",0.421,755.171
"ZZB",NA,NA,NA,"Zanzibar",2019,"Africa",0.18,NA
"PNG",NA,NA,NA,"Papua New Guinea",2019,"Oceania",0.373,4934
"DDR",NA,NA,NA,"German Democratic Republic",1990,"Europe",0.247,NA
"CUB",NA,NA,NA,"Cuba",2019,NA,0.09,11106
"PSB",NA,NA,NA,"Palestine/British Mandate",1948,"Asia",0.104,NA
"PSG",NA,NA,NA,"Palestine/Gaza",2019,"Asia",0.078,NA
"SML",NA,NA,NA,"Somaliland",2019,"Africa",0.265,NA
"WRG",NA,NA,NA,"WÃ¼rtemberg",1871,"Europe",0.148,NA
"BRW",NA,NA,NA,"Brunswick",1867,"Europe",0.19,NA
"TLS",NA,NA,NA,"Timor-Leste",2019,"Asia",0.522,846.599
"ERI",NA,NA,NA,"Eritrea",2019,"Africa",0.012,4197
"AFG",NA,NA,NA,"Afghanistan",2019,"Asia",0.212,23898.2
"PRK",NA,NA,NA,"North Korea",2019,"Asia",0.014,21263
"SAX",NA,NA,NA,"Saxe-Weimar-Eisenach",1867,"Europe",0.113,NA
"YMD",NA,NA,NA,"South Yemen",1990,"Asia",0.098,NA
"TSC",NA,NA,NA,"Tuscany",1861,"Europe",0.115,NA
"MDN",NA,NA,NA,"Modena",1797,"Europe",0.05,NA
"SPD",NA,NA,NA,"Piedmont-Sardinia",1861,"Europe",0.149,NA
"BDN",NA,NA,NA,"Baden",1871,"Europe",0.179,NA
"BVR",NA,NA,NA,"Bavaria",1871,"Europe",0.179,NA
"MCL",NA,NA,NA,"Mecklenburg Schwerin",1867,"Europe",0.157,NA
"TWS",NA,NA,NA,"Two Sicilies",1849,"Europe",0.025,NA
"HDM",NA,NA,NA,"Hesse-Darmstadt",1871,"Europe",0.171,NA
"SXN",NA,NA,NA,"Saxony",1867,"Europe",0.144,NA
"LBY",NA,NA,NA,"Libya",2019,"Africa",0.156,5115.45
"PRM",NA,NA,NA,"Parma",1859,"Europe",0.128,NA
"OLD",NA,NA,NA,"Oldenburg",1867,"Europe",0.147,NA
"HVR",NA,NA,NA,"Hanover",1866,"Europe",0.118,NA
"VDR",NA,NA,NA,"Republic of Vietnam",1975,"Asia",0.202,NA
"XKX",NA,NA,NA,"Kosovo",2019,"Europe",0.413,NA
"PPS",NA,NA,NA,"Papal States",1861,"Europe",0.027,NA
